,id,name,latitude,longitude
203,76,McCoppin St at Valencia St,37.77166246221617,-122.42242321372034
206,338,13th St at Franklin St,37.803189081131634,-122.27057933807372
209,92,Mission Bay Kids Park,37.772300631747626,-122.39302754402159
210,336,Potrero Ave and Mariposa St,37.76328094058097,-122.4073773622513
212,155,Emeryville Public Market,37.840521166949685,-122.29352831840515
213,235,Union St at 10th St,37.8072393,-122.28937020000001
217,339,Jackson St at 11th St,37.80000163118878,-122.26643800735472
222,323,Broadway at Kearny,37.79801364395978,-122.40595042705534
224,311,Paseo De San Antonio at 2nd St,37.333798,-121.88694299999999
225,141,Valencia St at Cesar Chavez St,37.747998100000004,-122.42021869999999
236,171,Rockridge BART Station,37.84427875399067,-122.251900434494
237,350,8th St at Brannan St,37.77143136292109,-122.40578681230544
239,166,College Ave at Alcatraz Ave,37.8513755,-122.25252330000001
250,223,16th St Mission BART Station 2,37.764765215497704,-122.42009103298186
252,312,San Jose Diridon Station,37.329732,-121.90178200000001
255,380,Masonic Ave at Turk St,37.779046658472055,-122.44729131460188
256,110,17th & Folsom Street Park (17th St at Folsom St),37.7637085,-122.41520420000002
262,181,Grand Ave at Webster St,37.8113768,-122.2651925
263,79,7th St at Brannan St,37.773491899999996,-122.40367250000001
267,16,Steuart St at Market St,37.794129999999996,-122.39443
269,39,Scott St at Golden Gate Ave,37.778999400000004,-122.4368608
271,266,Parker St at Fulton St,37.8624644,-122.26479109999998
272,246,Berkeley Civic Center,37.869059899999996,-122.270556
276,14,Clay St at Battery St,37.795001,-122.39997
280,88,11th St at Bryant St,37.770029799999996,-122.41172579999999
283,3,Powell St BART Station (Market St at 4th St),37.78637526861584,-122.40490436553955
285,154,Doyle St at 59th St,37.841923799999996,-122.28804509999999
286,215,34th St at Telegraph Ave,37.8225475,-122.2663179
287,126,Esprit Park,37.7616343,-122.3906477
307,149,Emeryville Town Hall,37.8312752,-122.28563329999999
310,89,Division St at Potrero Ave,37.76921786152374,-122.40764558315277
311,102,Irwin St at 8th St,37.7668828,-122.3995794
312,294,Pierce Ave at Market St,37.327581,-121.88455900000001
314,22,Howard St at Beale St,37.789756,-122.39464299999999
321,202,Washington St at 8th St,37.8007544,-122.2748943
325,96,Dolores St at 15th St,37.7662102,-122.4266136
332,256,Hearst Ave at Euclid Ave,37.87511169286445,-122.26055324077606
337,248,Telegraph Ave at Ashby Ave,37.8559558,-122.2597949
338,60,8th St at Ringold St,37.774520401136854,-122.4094493687153
348,230,14th St at Mandela Pkwy,37.810743200000005,-122.2914153
356,277,Morrison Ave at Julian St,37.3336577,-121.90858590000002
362,13,Commercial St at Montgomery St,37.794230999999996,-122.402923
366,85,Church St at Duboce Ave,37.7700831,-122.42915570000001
377,80,Townsend St at 5th St,37.77523486860596,-122.39743709564208
379,134,Valencia St at 24th St,37.7524278,-122.42062779999999
382,105,16th St at Prosper St,37.764285,-122.43180420000002
397,296,5th St at Virginia St,37.3259984,-121.87711999999999
399,285,Webster St at O'Farrell St,37.78352083526095,-122.43115782737732
401,158,Shattuck Ave at Telegraph Ave,37.8332786,-122.26349009999998
403,304,Jackson St at 5th St,37.348758686744794,-121.89479783177376
406,81,Berry St at 4th St,37.77588,-122.39317
409,269,Telegraph Ave at Carleton St,37.862319899999996,-122.258801
410,268,Ellsworth St at Russell St,37.857490214571534,-122.26157784461977
411,150,Adeline St at 40th St,37.8312769,-122.2782669
425,195,Bay Pl at Vernon St,37.81231409135146,-122.26077854633331
440,249,Russell St at College Ave,37.8584732,-122.2532529
443,130,22nd St Caltrain Station,37.75728840784085,-122.3920512199402
466,99,Folsom St at 15th St,37.7670373,-122.41544250000001
468,198,Snow Park,37.80781318217903,-122.26449608802795
479,270,Ninth St at Heinz Ave,37.853489399999994,-122.28941540000001
483,101,15th St at Potrero Ave,37.76707850458367,-122.40735858678819
485,355,23rd St at Tennessee St,37.75536713215853,-122.38879501819609
487,52,McAllister St at Baker St,37.7774157,-122.4418376
488,343,Bryant St at 2nd St,37.783171989315306,-122.39357203245164
499,116,Mississippi St at 17th St,37.764802200000005,-122.3947713
503,305,Ryland Park,37.342725,-121.89561699999999
504,341,Fountain Alley at S 2nd St,37.33618830029063,-121.8892765045166
516,241,Ashby BART Station,37.8524766,-122.2702132
520,174,Shattuck Ave at 51st St,37.8368013,-122.2640037
522,276,Julian St at The Alameda,37.3322326,-121.91251650000001
